[2026-05-27 15:19:18] [FAIL] app=APP-00063 from=verified to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'verified'. Valid actions: [approve, reject]
[2026-05-27 15:27:35] [FAIL] app=APP-00063 from=verified to=N/A action=verify role=welfare_admin | Invalid action 'verify' for status 'verified'. Valid actions: [approve, reject]
[2026-05-27 15:36:40] [FAIL] app=APP-00063 from=verified to=N/A action=verify role=welfare_admin | Invalid action 'verify' for status 'verified'. Valid actions: [approve, reject]
[2026-05-27 15:36:45] [FAIL] app=APP-00063 from=verified to=N/A action=complete_training role=welfare_admin | Invalid action 'complete_training' for status 'verified'. Valid actions: [approve, reject]
[2026-05-27 15:38:18] [FAIL] app=APP-00063 from=verified to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'verified'. Valid actions: [approve, reject]
[2026-05-27 15:39:30] [FAIL] app=APP-00063 from=verified to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'verified'. Valid actions: [approve, reject]
[2026-05-27 15:40:03] [OK] app=APP-00063 from=verified to=acc_generated action=set_status role=pass_user | ACC Generated for worker: Kuldeep Gupta
[2026-05-27 15:42:10] [FAIL] app=APP-00063 from=verified to=N/A action=verify role=welfare_admin | Invalid action 'verify' for status 'verified'. Valid actions: [approve, reject]
[2026-06-02 11:11:11] [FAIL] app=APP-00063 from=verified to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'verified'. Valid actions: [approve, reject]
[2026-06-02 11:59:44] [FAIL] app=APP-00063 from=verified to=N/A action=verify role=welfare_user | Invalid action 'verify' for status 'verified'. Valid actions: [approve, reject]
[2026-06-02 16:20:15] [FAIL] app=APP-00063 from=permanent_active to=N/A action=verify role=welfare_admin | Invalid action 'verify' for status 'permanent_active'. Valid actions: []
[2026-06-02 16:20:20] [FAIL] app=APP-00063 from=permanent_active to=N/A action=complete_training role=welfare_admin | Invalid action 'complete_training' for status 'permanent_active'. Valid actions: []
[2026-06-02 16:21:14] [FAIL] app=APP-00063 from=permanent_active to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'permanent_active'. Valid actions: []
[2026-06-02 16:22:34] [FAIL] app=APP-00063 from=permanent_active to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'permanent_active'. Valid actions: []
[2026-06-02 16:22:46] [OK] app=APP-00063 from=permanent_active to=acc_generated action=set_status role=pass_user | ACC Generated for worker: harsh
[2026-06-02 16:34:29] [FAIL] app=APP-00063 from=permanent_active to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'permanent_active'. Valid actions: []
[2026-06-02 17:26:23] [FAIL] app=APP-00063 from=permanent_active to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'permanent_active'. Valid actions: []
[2026-06-02 17:26:44] [FAIL] app=APP-00063 from=permanent_active to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'permanent_active'. Valid actions: []
[2026-06-02 17:27:15] [OK] app=APP-00063 from=permanent_active to=acc_generated action=set_status role=pass_user | ACC Generated for worker: panjak
[2026-06-05 14:12:11] [OK] app=APP-00063 from=submitted to=under_review action=verify role=welfare_user | Welfare Enrollment Approved
[2026-06-05 14:14:16] [FAIL] app=APP-00063 from=submitted to=N/A action=complete_training role=welfare_user | Invalid action 'complete_training' for status 'submitted'. Valid actions: [verify, reject]
[2026-06-05 14:15:18] [FAIL] app=APP-00074 from=draft to=N/A action=verify role=welfare_user | Invalid action 'verify' for status 'draft'. Valid actions: [submit]
[2026-06-06 14:42:12] [FAIL] app=APP-00063 from=submitted to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'submitted'. Valid actions: [verify, reject]
[2026-06-06 14:58:03] [FAIL] app=APP-00063 from=submitted to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'submitted'. Valid actions: [verify, reject]
[2026-06-06 15:07:08] [FAIL] app=APP-00063 from=submitted to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'submitted'. Valid actions: [verify, reject]
[2026-06-06 15:41:23] [FAIL] app=APP-00063 from=submitted to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'submitted'. Valid actions: [verify, reject]
[2026-06-06 15:42:47] [OK] app=APP-00063 from=submitted to=acc_generated action=set_status role=pass_user | ACC Generated for worker: julie va
[2026-06-08 13:37:19] [FAIL] app=APP-00078 from=enrolment_done to=N/A action=complete_training role=safety_user | Invalid action 'complete_training' for status 'enrolment_done'. Valid actions: []
[2026-06-08 13:39:16] [FAIL] app=APP-00078 from=enrolment_done to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'enrolment_done'. Valid actions: []
[2026-06-08 13:39:48] [FAIL] app=APP-00078 from=enrolment_done to=N/A action=request_gatepass role=contractor | Invalid action 'request_gatepass' for status 'enrolment_done'. Valid actions: []
[2026-06-08 13:41:07] [FAIL] app=APP-00078 from=enrolment_done to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'enrolment_done'. Valid actions: []
[2026-06-08 13:41:21] [FAIL] app=APP-00078 from=enrolment_done to=N/A action=verify_documents role=welfare_admin | Invalid action 'verify_documents' for status 'enrolment_done'. Valid actions: []
[2026-06-08 13:41:36] [OK] app=APP-00078 from=enrolment_done to=acc_generated action=set_status role=pass_user | ACC Generated for worker: telecon testing
[2026-06-08 13:42:22] [OK] app=APP-00078 from=acc_generated to=acc_generated action=set_status role=pass_user | ACC Generated for worker: Telecon Systems
[2026-06-09 11:11:11] [FAIL] app=APP-00078 from=acc_generated to=N/A action=verify role=welfare_user | Invalid action 'verify' for status 'acc_generated'. Valid actions: [enroll_biometric, issue_permanent_pass]
[2026-06-10 08:59:05] [FAIL] app=APP-00082 from=enrolment_done to=N/A action=verify role=welfare_user | Invalid action 'verify' for status 'enrolment_done'. Valid actions: []
[2026-06-10 08:59:19] [FAIL] app=APP-00082 from=enrolment_done to=N/A action=verify role=welfare_user | Invalid action 'verify' for status 'enrolment_done'. Valid actions: []
