[2026-05-08 17:16:57] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:33:38] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:33:43] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=complete_training role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:36:18] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:36:24] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:36:27] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:36:29] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:36:30] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:36:31] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:36:39] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:36:41] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:36:42] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:36:44] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:36:45] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:36:50] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:38:27] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:38:30] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:38:31] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:38:33] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify_documents role=welfare_admin | Application 'APP-3' not found
[2026-05-08 17:39:55] [FAIL] app=APP-3 from=UNKNOWN to=N/A action=verify role=welfare_admin | Application 'APP-3' not found
[2026-05-09 03:18:15] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=complete_training role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:18:23] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=verify role=welfare_admin | Application 'APP-2' not found
[2026-05-09 03:19:51] [FAIL] app=APP-2 from=UNKNOWN to=N/A action=request_gatepass role=contractor | Application 'APP-2' not found
